#Redshift Merger_Rate_Density[Gpc^-3yr^-1]
3.346693386773547019e+01 0.000000000000000000e+00
3.354709418837675372e+01 0.000000000000000000e+00
3.362725450901803725e+01 0.000000000000000000e+00
3.370741482965932079e+01 0.000000000000000000e+00
3.378757515030059722e+01 0.000000000000000000e+00
3.386773547094188075e+01 0.000000000000000000e+00
3.394789579158316428e+01 0.000000000000000000e+00
3.402805611222444782e+01 0.000000000000000000e+00
3.410821643286573135e+01 0.000000000000000000e+00
3.418837675350701488e+01 0.000000000000000000e+00
3.426853707414829842e+01 0.000000000000000000e+00
3.434869739478958195e+01 0.000000000000000000e+00
3.442885771543086548e+01 0.000000000000000000e+00
3.450901803607214191e+01 0.000000000000000000e+00
3.458917835671342544e+01 0.000000000000000000e+00
3.466933867735470898e+01 0.000000000000000000e+00
3.474949899799599251e+01 0.000000000000000000e+00
3.482965931863727604e+01 0.000000000000000000e+00
3.490981963927855958e+01 0.000000000000000000e+00
3.498997995991983601e+01 0.000000000000000000e+00
3.507014028056111954e+01 0.000000000000000000e+00
3.515030060120240307e+01 0.000000000000000000e+00
3.523046092184368661e+01 0.000000000000000000e+00
3.531062124248497014e+01 0.000000000000000000e+00
3.539078156312625367e+01 0.000000000000000000e+00
3.547094188376753721e+01 0.000000000000000000e+00
3.555110220440882074e+01 0.000000000000000000e+00
3.563126252505010427e+01 0.000000000000000000e+00
3.571142284569138070e+01 0.000000000000000000e+00
3.579158316633266423e+01 0.000000000000000000e+00
3.587174348697394777e+01 0.000000000000000000e+00
3.595190380761523130e+01 0.000000000000000000e+00
3.603206412825651483e+01 0.000000000000000000e+00
3.611222444889779837e+01 0.000000000000000000e+00
3.619238476953907480e+01 0.000000000000000000e+00
3.627254509018035833e+01 0.000000000000000000e+00
3.635270541082164186e+01 0.000000000000000000e+00
3.643286573146292540e+01 0.000000000000000000e+00
3.651302605210420893e+01 0.000000000000000000e+00
3.659318637274549246e+01 0.000000000000000000e+00
3.667334669338677600e+01 0.000000000000000000e+00
3.675350701402805953e+01 0.000000000000000000e+00
3.683366733466934306e+01 0.000000000000000000e+00
3.691382765531061949e+01 0.000000000000000000e+00
3.699398797595190302e+01 0.000000000000000000e+00
3.707414829659318656e+01 0.000000000000000000e+00
3.715430861723447009e+01 0.000000000000000000e+00
3.723446893787575362e+01 0.000000000000000000e+00
3.731462925851703005e+01 0.000000000000000000e+00
3.739478957915831359e+01 0.000000000000000000e+00
3.747494989979959712e+01 0.000000000000000000e+00
3.755511022044088065e+01 0.000000000000000000e+00
3.763527054108216419e+01 0.000000000000000000e+00
3.771543086172344772e+01 0.000000000000000000e+00
3.779559118236473125e+01 0.000000000000000000e+00
3.787575150300601479e+01 0.000000000000000000e+00
3.795591182364729832e+01 0.000000000000000000e+00
3.803607214428857475e+01 0.000000000000000000e+00
3.811623246492985828e+01 0.000000000000000000e+00
3.819639278557114181e+01 0.000000000000000000e+00
3.827655310621242535e+01 0.000000000000000000e+00
3.835671342685370888e+01 0.000000000000000000e+00
3.843687374749499241e+01 0.000000000000000000e+00
3.851703406813626884e+01 0.000000000000000000e+00
3.859719438877755238e+01 0.000000000000000000e+00
3.867735470941883591e+01 0.000000000000000000e+00
3.875751503006011944e+01 0.000000000000000000e+00
3.883767535070140298e+01 0.000000000000000000e+00
3.891783567134268651e+01 0.000000000000000000e+00
3.899799599198397004e+01 0.000000000000000000e+00
3.907815631262525358e+01 0.000000000000000000e+00
3.915831663326653711e+01 0.000000000000000000e+00
3.923847695390781354e+01 0.000000000000000000e+00
3.931863727454909707e+01 0.000000000000000000e+00
3.939879759519038060e+01 0.000000000000000000e+00
3.947895791583166414e+01 0.000000000000000000e+00
3.955911823647294767e+01 0.000000000000000000e+00
3.963927855711423121e+01 0.000000000000000000e+00
3.971943887775550763e+01 0.000000000000000000e+00
3.979959919839679117e+01 0.000000000000000000e+00
3.987975951903807470e+01 0.000000000000000000e+00
3.995991983967935823e+01 0.000000000000000000e+00
