FLUX_BATSE_64,T90,FLUENCE_BATSE,PFLX_COMP_EPEAK,TRIGGER_TIME
1.9265,1.28,2.9564e-07,0.0,58804.637249546
8.6419,0.512,2.9894e-07,943.4278,56471.859742931
3.7813,0.64,3.9257e-07,1652.63,54950.752748982
2.565,0.128,6.3015e-08,0.0,60653.233150027
5.5001,0.576,1.8742e-07,79.90772,57983.137036799
1.9884,1.728,1.8411e-07,0.0,60962.019795565
18.0821,0.768,3.6641e-07,0.0,60648.15234392
5.3917,0.384,3.1384e-07,1155.903,59410.86563203
3.5305,0.16,7.9946e-08,265.9876,57385.486185977
48.9318,0.64,2.5545e-06,4231.105,56102.308626613
2.8102,0.48,9.2421e-08,2087.83,58008.984868895
6.0681,0.384,4.7304e-07,0.0,59112.831245025
2.746,0.576,6.3392e-08,0.0,60960.61559265
16.6573,0.768,9.4643e-07,1399.93,54816.530555485
4.3849,1.088,8.975e-08,0.0,59484.030530771
1.7259,1.536,1.5149e-07,0.0,60987.888729866
2.9929,0.96,2.5689e-07,429.219,54672.54124725
6.5781,0.32,2.6144e-07,467.5235,54868.619932531
2.7762,0.192,3.8053e-08,0.0,60569.608855612
2.4983,1.984,4.2533e-07,174.2733,58249.43741442
2.6664,0.448,5.2698e-08,0.0,59197.672067325
2.4331,1.6,6.9832e-08,2117.193,59406.43187702
1.9772,1.6,6.0017e-08,1747.082,55988.7222116
8.3721,1.664,1.0706e-06,179.1803,57606.584009497
5.8424,0.448,3.3335e-07,1246.481,59877.040490958
5.0813,0.448,7.3326e-08,373.3887,57777.528113792
10.9953,0.192,1.9612e-07,0.0,60935.269263079
3.6661,0.96,1.3478e-07,278.1827,59366.72376779
31.2947,0.704,9.8522e-07,0.0,59522.782069506
16.3884,0.448,6.5983e-07,390.6323,57817.256328523
0.7462,1.472,9.8352e-08,0.0,60599.073304557
0.4815,0.32,1.5506e-08,0.0,59866.020674677
4.1586,1.536,1.388e-07,321.3014,56342.625855853
11.9291,1.28,1.2669e-06,1150.903,59384.531756131
2.077,1.92,7.1577e-08,0.0,59486.153926575
5.3835,0.544,1.2202e-07,79.24372,58212.847587482
12.5228,1.6,8.3975e-07,1249.177,57981.599351331
1.7315,1.792,2.6016e-07,1040.224,56087.579578968
12.821,0.176,3.3641e-07,668.7704,55233.562562387
0.8188,1.088,3.89e-08,0.0,60805.925464575
1.856,1.28,1.2725e-07,0.0,59719.87613093
14.3516,0.448,6.5369e-07,0.0,60764.911366929
5.1683,0.256,1.0061e-07,228.2634,57266.924125821
3.8542,1.6,1.5458e-07,328.9915,57774.132546581
5.2734,0.576,6.055e-07,625.6821,55359.544695093
8.5337,0.512,4.0674e-07,890.8319,56547.357615692
1.7731,0.832,1.2746e-07,0.0,59346.78892729
14.1104,1.28,1.8448e-06,1158.459,60558.18560347
0.0,0.0,0.0,181.6573,55008.707470652
33.0444,1.168,5.1375e-06,428.5928,57790.452751111
6.2917,0.448,4.8738e-07,703.4066,56212.723800769
4.1647,0.176,4.7403e-08,149.568,57178.782164765
2.9004,0.576,1.0987e-07,0.0,59299.05723294
3.1324,1.024,2.1176e-07,0.0,60694.945211831
4.3505,0.08,1.1132e-07,549.8489,58688.030518429
4.7771,0.704,3.7546e-07,2909.121,59747.771677112
9.744,0.192,3.5905e-07,572.3456,54999.208316848
7.2999,0.384,5.8257e-07,1095.389,55419.108210222
8.743,0.832,5.1671e-07,476.6246,58327.881931861
5.348,1.792,3.4768e-07,0.0,60345.851744365
3.2284,0.256,5.6778e-08,450.1406,60318.167768623
5.0838,1.664,6.7777e-07,74.62303,54777.320846237
4.3749,1.728,3.8481e-07,725.8069,57231.151001083
4.0386,1.152,3.0846e-07,2396.317,57945.712922188
4.3148,0.576,1.1261e-07,0.0,60884.392888588
6.1799,1.408,6.1772e-07,0.0,57079.222532152
6.3236,0.768,3.6769e-07,200.9495,57004.300178577
3.0407,0.768,1.4075e-07,429.2598,55189.373339785
8.6813,0.48,2.0926e-07,392.7464,57846.582844879
1.7473,0.64,9.1459e-08,202.3892,55332.396276818
1.3399,1.984,3.7486e-07,965.1357,55197.987675726
3.4595,1.664,2.2118e-07,1725.296,58448.161693865
1.1828,0.576,7.1472e-08,440.6319,56662.747600023
5.6849,0.832,2.4689e-07,1265.368,60229.230793477
1.2066,0.512,4.2145e-08,0.0,57054.039517231
25.7074,0.144,4.6872e-07,315.4425,57942.045963608
3.9899,0.544,8.5162e-08,901.3311,58263.151378266
2.6498,0.704,1.6882e-07,781.9813,55770.055819631
2.8506,0.64,2.2403e-07,1163.514,57124.93097456
3.2116,0.32,8.6773e-08,2095.434,57224.431324621
4.7676,0.448,2.2451e-07,187.3404,58155.202812522
6.1012,1.056,5.687e-07,420.1888,56066.7210066
4.658,0.832,5.839e-07,674.6902,55081.808188359
4.4482,0.576,1.592e-07,1791.901,57837.331227327
4.0118,0.08,3.9849e-08,0.0,58407.717655133
6.1212,0.016,4.3802e-08,0.0,60477.233832184
7.7662,0.256,2.8079e-07,1135.05,57991.36883697
0.0001,0.256,5.5515e-08,0.0,60334.867159808
10.0112,1.28,7.3271e-07,424.0999,57244.484825346
3.6028,0.64,2.0691e-07,1703.05,54763.890750743
6.7809,0.032,1.3809e-07,0.0,59204.591470074
2.9068,1.728,5.2078e-07,541.5581,54772.364589189
14.7086,0.704,6.7409e-07,0.0,60903.062620991
2.787,1.088,8.9375e-08,0.0,60682.481994135
3.5669,0.896,2.2754e-07,4810.727,56153.200840034
15.509,0.32,5.619e-07,707.7983,60283.100826475
5.3717,0.032,6.9932e-08,0.0,54829.675201106
370.312,0.576,1.7833e-05,401.2292,58474.841405537
1.9355,0.384,1.5664e-07,716.321,55029.111479009
4.36,0.384,2.5249e-07,1665.634,56358.12620916
6.2425,0.432,2.2057e-07,287.5588,55882.509514227
3.0922,0.288,2.5636e-08,0.0,60810.865531372
2.0721,0.384,1.8591e-07,1150.253,57218.135742932
1.2445,1.472,6.743e-08,0.0,58034.079616833
3.4817,0.256,7.305e-08,239.4732,56013.417930945
4.7598,0.576,5.6995e-07,0.0,59727.258882101
2.1683,1.408,6.2884e-08,0.0,59740.90598299
